id,kategoria,ang,pl
0,TEST,test ang,test pl
1,GENERAL,shortfall,niedobór
2,GENERAL,shortcomings,niedociągnięcia
3,GENERAL,under-utilised,niewykorzystany
4,GENERAL,reluctant,niechętny
5,GENERAL,nudge,szturchnąć / zachęcić
6,GENERAL,innegable (innegible?),niezaprzeczalny
7,GENERAL,inquire,pytać / zadawać pytania
8,GENERAL,look into,zbadać
9,GENERAL,put off,przełożyć
10,GENERAL,carry on,kontynuować
11,GENERAL,set objectives,ustawić cele
12,GENERAL,tight deadline,krótki deadline
13,POLITICS,stay within the budget,zmieścić się w budżecie
14,POLITICS,tackle,zmierzyć się z
15,POLITICS,call for,żądać / wymagać
16,POLITICS,shifting the blame,przerzucanie winy
17,POLITICS,address me,zwrócić się do mnie
18,POLITICS,allocate resources,przydzielić zasoby
19,POLITICS,bridge the gap,wypełnić lukę
20,POLITICS,shape policy,kształtować politykę
21,POLITICS,set regulations and budget,ustalić regulacje i budżet
22,POLITICS,tackle corruption,zwalczać korupcję
23,POLITICS,enforce regulations,egzekwować regulacje
24,POLITICS,stand up for the rights,bronić praw
25,POLITICS,promote the development,promować rozwój
26,GENERAL,livestock,inwentarz
27,GENERAL,restore,przywrócić
28,GENERAL,culling,reducing the number of animals
29,POLITICS,risk assessment,ocena ryzyka
30,POLITICS,assess the risk,ocenić ryzyko
31,POLITICS,remote region,odległy region
32,POLITICS,I'm against any form of ...,jestem przeciwko każdej formie
33,DISCUSION,No one would disagree with ...,nikt by się nie nie zgodził z
34,DISCUSION,I'd be surprised if that was the case,zdziwiłbym się gdyby tak było
35,DISCUSION,On the face of it,wydaje się że
36,DISCUSION,acknowledge,uznać / rozpoznać
37,DISCUSION,dismantle,rozebrać na części
38,DISCUSION,surpass expectation,przewyższyć oczekiwania
39,DISCUSION,biased,stronniczy
40,DISCUSION,tune in,dostosować się / wczuć się
41,DISCUSION,outrageous,skandaliczny
42,DISCUSION,impose,narzucać
43,DISCUSION,thorough,dokładny / skrupulatny
44,GENERAL,rummaging,grzebanie
45,GENERAL,flourish,rozkwitać
46,GENERAL,bloom,rozkwitać
47,GENERAL,thrive,rozwijać się
48,GENERAL,vigilant,czujny
49,GENERAL,a thriving business,rozwijający się biznes
50,DISCUSION,reigniting a fierce debate,rozpętać gorącą debatę
51,GENERAL,caution / warned,uważać / być ostrzeżonym
52,LAW,sue,pozwać
53,LAW,damages,odszkodowanie finansowe
54,LAW,claim,twierdzić / pozew
55,LAW,claiment,twierdzenie
56,LAW,accused,oskarżony
57,LAW,defendant,pozwany
58,LAW,ruling,postanowienie sądu
59,LAW,you are bound by the contract,jesteśmy związani kontraktem
60,LAW,plagiarism,plagiat
61,LAW,nuisance,niedogodność
62,LAW,offence,wykroczenie
63,LAW,obstruct,utrudnić / przeszkodzić
64,LAW,minor,niepełnoletni
65,LAW,sentence,wyrok / skazać
66,LAW,convicted,skazany
67,LAW,convicts,skazańcy
68,LAW,moat,fosa
69,LAW,dismissed,zwolniony
70,LAW,linger,pozostać
71,LAW,depenalised,zdekryminalizować
72,LAW,plight,trudna sytuacja
73,LAW,plausible,wiarygodny / sensowny
74,LAW,lost cause,przegrana sprawa
75,LAW,objection,sprzeciw
76,LAW,your honor,wysoki sądzie
77,LAW,sustained,podtrzymuję
78,LAW,overruled,odrzucony
79,LAW,trial,proces
80,LAW,admit ,przyznać
81,LAW,harmless,niegroźny
82,LAW,unharmed,nietknięty
83,GENERAL,fade,zanikać / blednąć
84,GENERAL,intimidate,zastraszać / onieśmielać
85,LAW,infringe,naruszać / łamać
86,LAW,for the sake of…,dla dobra… / ze względu na…
87,LAW,proportionately,proporcjonalnie
88,LAW,revenge,zemsta
89,LAW,re-socialise,resocjalizować
90,GENERAL,come to terms with…,pogodzić się z czymś
